title,description,advertiser,domain,category,source
"Personal loan up to ₹25 lakh at 10.5% interest, instant approval",,Bajaj Finserv,bajajfinserv.in,Finance & Investment,curated
"SIP in top-rated mutual funds, start with ₹500",,Groww,groww.in,Finance & Investment,curated
Credit card with 5% cashback on online shopping,,HDFC Bank,hdfcbank.com,Finance & Investment,curated
Fixed deposit rates up to 8.5% p.a. for senior citizens,,Suryoday Bank,suryodaybank.com,Finance & Investment,curated
"Gold loan at lowest interest, disbursal in 30 minutes",,Muthoot Finance,muthootfinance.com,Finance & Investment,curated
Home loan balance transfer at 8.35%,,SBI,sbi.co.in,Finance & Investment,curated
"शेअर बाजारात गुंतवणूक सुरू करा, मोफत डीमॅट खाते",,Angel One,angelone.in,Finance & Investment,curated
Learn options trading and earn passive income from stock market,,StockPro,stockpro.in,Finance & Investment,curated
"Bitcoin and crypto trading app, buy with INR",,CoinDCX,coindcx.com,Finance & Investment,curated
NPS: save tax under 80CCD and build retirement corpus,,NPS Trust,npstrust.org.in,Finance & Investment,curated
"Instant loan app: get ₹50,000 in your bank in minutes",,KreditBee,kreditbee.in,Finance & Investment,curated
"Health insurance for family starting ₹15/day, cashless hospitals",,Star Health,starhealth.in,Insurance,curated
"Car insurance renewal in 2 minutes, save up to 85%",,Acko,acko.com,Insurance,curated
₹1 crore term plan for just ₹490/month,,Max Life,maxlifeinsurance.com,Insurance,curated
Compare two wheeler insurance quotes online,,Policybazaar,policybazaar.com,Insurance,curated
LIC Jeevan Anand policy - guaranteed returns and life cover,,LIC,licindia.in,Insurance,curated
"Senior citizen health insurance, no medical tests",,Care Health,careinsurance.com,Insurance,curated
ULIP plan with market linked returns and life cover,,HDFC Life,hdfclife.com,Insurance,curated
"आरोग्य विमा घ्या, कुटुंबाचे संरक्षण करा",,Bajaj Allianz,bajajallianz.com,Insurance,curated
"Diabetes reversal program by expert doctors, reduce HbA1c",,Fitterfly,fitterfly.com,Health & Wellness,curated
Knee pain? Painless treatment without surgery,,Healing Hands Clinic,healinghands.in,Health & Wellness,curated
"Full body checkup with 80 tests at ₹999, home sample collection",,Redcliffe Labs,redcliffelabs.com,Health & Wellness,curated
Ayurvedic remedy for joint pain and arthritis,,Kerala Ayurveda,keralaayurveda.biz,Health & Wellness,curated
Lose weight with a personalised diet plan from nutritionists,,HealthifyMe,healthifyme.com,Health & Wellness,curated
"Hair fall treatment and PRP therapy, book free consultation",,Dr Batra's,drbatras.com,Health & Wellness,curated
"IVF treatment with high success rates, EMI available",,Indira IVF,indiraivf.com,Health & Wellness,curated
Buy medicines online and get 25% off,,PharmEasy,pharmeasy.in,Health & Wellness,curated
"Dental implants at affordable cost, painless procedure",,Clove Dental,clovedental.in,Health & Wellness,curated
Yoga classes online for back pain relief,,Habuild,habuild.in,Health & Wellness,curated
"मोफत नेत्र तपासणी शिबिर, मोतीबिंदू शस्त्रक्रिया",,Lotus Eye Hospital,lotuseye.in,Health & Wellness,curated
Find your perfect Marathi life partner,,Shaadi.com,shaadi.com,Matrimony & Dating,curated
Register free to find matches from your community,,BharatMatrimony,bharatmatrimony.com,Matrimony & Dating,curated
"Meet verified singles near you, start dating today",,Tinder,tinder.com,Matrimony & Dating,curated
"मराठी वधू-वर सूचक मंडळ, मोफत नोंदणी",,Marathi Matrimony,marathimatrimony.com,Matrimony & Dating,curated
Second marriage? Find divorcee and widow profiles,,Jeevansathi,jeevansathi.com,Matrimony & Dating,curated
Serious relationships for busy professionals,,Aisle,aisle.co,Matrimony & Dating,curated
Play rummy online and win real cash,,RummyCircle,rummycircle.com,Gaming,curated
Build your fantasy cricket team and win crores,,Dream11,dream11.com,Gaming,curated
Top strategy game of 2026 - build your empire,,Rise of Kingdoms,riseofkingdoms.com,Gaming,curated
"Free online multiplayer shooter, download on PC",,Valorant,playvalorant.com,Gaming,curated
Play Ludo with friends and earn money,,Ludo King,ludoking.com,Gaming,curated
"New RPG adventure, play free in browser",,RAID Shadow Legends,plarium.com,Gaming,curated
"Online MBA from top university, UGC approved",,upGrad,upgrad.com,Education & Courses,curated
Crack UPSC with India's best teachers,,Unacademy,unacademy.com,Education & Courses,curated
"Learn Data Science and AI, placement assistance",,Great Learning,mygreatlearning.com,Education & Courses,curated
Admissions open 2026-27 for CBSE school in Pune,,Podar International School,podareducation.org,Education & Courses,curated
"Spoken English course for adults, speak fluently in 30 days",,EnglishYaari,englishyaari.com,Education & Courses,curated
Coding classes for kids aged 6-14,,WhiteHat Jr,whitehatjr.com,Education & Courses,curated
"JEE NEET coaching, scholarship test this Sunday",,Allen,allen.ac.in,Education & Courses,curated
"Study in Canada, free counselling for visa and admission",,Leverage Edu,leverageedu.com,Education & Courses,curated
एमपीएससी परीक्षेची तयारी ऑनलाइन क्लास,,Mission MPSC,missionmpsc.com,Education & Courses,curated
Certified digital marketing course with internship,,Simplilearn,simplilearn.com,Education & Courses,curated
2 & 3 BHK luxury flats in Hinjewadi starting ₹65 lakh,,Kolte Patil,koltepatil.com,Real Estate,curated
"Ready to move homes in Thane, possession in 2026",,Lodha,lodhagroup.in,Real Estate,curated
Buy NA plots near Nagpur Samruddhi highway,,Plot Bazaar,plotbazaar.in,Real Estate,curated
Commercial office space for lease in BKC,,JLL,jll.co.in,Real Estate,curated
"RERA approved township in Wakad, book site visit",,Godrej Properties,godrejproperties.com,Real Estate,curated
"१ व २ बीएचके फ्लॅट्स, पुण्यात बुकिंग सुरू",,VTP Realty,vtprealty.in,Real Estate,curated
Find rental flats without brokerage,,NoBroker,nobroker.in,Real Estate,curated
Second homes and villas in Lonavala,,Isprava,isprava.com,Real Estate,curated
"Modular kitchen designs, 45 day installation",,Livspace,livspace.com,Home & Living,curated
"Premium sofas and furniture, up to 50% off",,Pepperfry,pepperfry.com,Home & Living,curated
Waterproofing solutions for your terrace this monsoon,,Dr. Fixit,drfixit.co.in,Home & Living,curated
Wall paints that last 10 years,,Asian Paints,asianpaints.com,Home & Living,curated
Orthopedic mattress with 100 night trial,,Wakefit,wakefit.co,Home & Living,curated
Interior design for 2BHK at ₹3.5 lakh,,HomeLane,homelane.com,Home & Living,curated
"Water purifier RO+UV, free installation",,Kent RO,kent.co.in,Home & Living,curated
"Festive sarees collection, flat 40% off",,Myntra,myntra.com,Fashion & Shopping,curated
Diwali sale: up to 80% off on fashion and electronics,,Flipkart,flipkart.com,Fashion & Shopping,curated
"Handcrafted gold jewellery, 0% making charges",,Tanishq,tanishq.co.in,Fashion & Shopping,curated
"Men's running shoes, buy 1 get 1",,Puma,puma.com,Fashion & Shopping,curated
Paithani saree direct from weavers of Yeola,,Paithani House,paithanihouse.com,Fashion & Shopping,curated
Kurtas and ethnic wear for women,,Biba,biba.in,Fashion & Shopping,curated
Great Indian Festival deals on Amazon,,Amazon,amazon.in,Fashion & Shopping,curated
Luxury watches at best prices,,Titan,titan.co.in,Fashion & Shopping,curated
दिवाळी खरेदी: कपड्यांवर ५०% सूट,,PN Gadgil Jewellers,pngjewellers.com,Fashion & Shopping,curated
"New 5G smartphone with 200MP camera, pre-order now",,Samsung,samsung.com,Technology & Electronics,curated
"Cloud hosting with 99.99% uptime, free SSL",,Hostinger,hostinger.in,Technology & Electronics,curated
"Best laptops for students under ₹50,000",,HP,hp.com,Technology & Electronics,curated
"Cybersecurity for small business, endpoint protection",,Quick Heal,quickheal.co.in,Technology & Electronics,curated
Fiber broadband 300 Mbps with free OTT apps,,JioFiber,jio.com,Technology & Electronics,curated
CRM software free trial for sales teams,,Zoho,zoho.com,Technology & Electronics,curated
Noise cancelling wireless earbuds,,boAt,boat-lifestyle.com,Technology & Electronics,curated
Smart TV 55 inch 4K QLED launch offer,,OnePlus,oneplus.in,Technology & Electronics,curated
Build AI apps with GPU cloud servers,,E2E Networks,e2enetworks.com,Technology & Electronics,curated
Book a test drive of the new electric SUV,,Tata Motors,tatamotors.com,Automotive,curated
"New Maruti Swift 2026, attractive finance offers",,Maruti Suzuki,marutisuzuki.com,Automotive,curated
"Electric scooter with 150 km range, subsidy available",,Ola Electric,olaelectric.com,Automotive,curated
Sell your old car in 1 hour at best price,,Cars24,cars24.com,Automotive,curated
"Royal Enfield Classic 350, book now",,Royal Enfield,royalenfield.com,Automotive,curated
"Mahindra Thar Roxx, festive season offer",,Mahindra,mahindra.com,Automotive,curated
"नवीन इलेक्ट्रिक स्कूटर, सबसिडीसह",,Ather,atherenergy.com,Automotive,curated
Luxury sedan lease plans for corporates,,Mercedes-Benz,mercedes-benz.co.in,Automotive,curated
"Kashmir tour package 5N/6D from ₹18,999",,Thomas Cook,thomascook.in,Travel & Tourism,curated
"Cheap flights to Dubai, book now",,MakeMyTrip,makemytrip.com,Travel & Tourism,curated
"Goa beach resort, 40% off this weekend",,Taj Hotels,tajhotels.com,Travel & Tourism,curated
Ashtavinayak darshan yatra by AC bus,,Kesari Tours,kesari.in,Travel & Tourism,curated
Europe group tour for seniors,,Veena World,veenaworld.com,Travel & Tourism,curated
Book train tickets with free cancellation,,ixigo,ixigo.com,Travel & Tourism,curated
Donate for cancer treatment of a child,,Ketto,ketto.org,Charity & NGO,curated
"Feed a cow this Navratri, donate for gau seva",,Gau Seva Trust,gauseva.org,Charity & NGO,curated
"Support girl child education, 80G tax benefit",,CRY,cry.org,Charity & NGO,curated
Sponsor a meal for a school child,,Akshaya Patra,akshayapatra.org,Charity & NGO,curated
"Help flood victims in Maharashtra, donate now",,Goonj,goonj.org,Charity & NGO,curated
Your donation can save a life. Urgent surgery needed,,Milaap,milaap.org,Charity & NGO,curated
"Talk to astrologer, first consultation free",,Astrotalk,astrotalk.com,Astrology & Spirituality,curated
Get your free kundli and marriage prediction,,AstroSage,astrosage.com,Astrology & Spirituality,curated
Vastu consultation for your home and office,,Vastu Shastra,vastushastra.in,Astrology & Spirituality,curated
Book online puja at Trimbakeshwar,,Sri Mandir,srimandir.com,Astrology & Spirituality,curated
Lucky gemstone recommendation based on horoscope,,GemPundit,gempundit.com,Astrology & Spirituality,curated
मोफत जन्मकुंडली आणि भविष्य,,Astro Marathi,astromarathi.com,Astrology & Spirituality,curated
"Industrial air compressors, request a quote",,Atlas Copco,atlascopco.com,Industrial & B2B,curated
CNC machines for precision manufacturing,,Jyoti CNC,jyoti.co.in,Industrial & B2B,curated
Warehouse storage racks and pallets manufacturer,,Godrej Storage,godrej.com,Industrial & B2B,curated
Bulk steel pipes and TMT bars supplier,,JSW Steel,jsw.in,Industrial & B2B,curated
"Rooftop solar for factories, save 70% electricity",,Tata Power Solar,tatapowersolar.com,Industrial & B2B,curated
Packaging machines for FMCG manufacturers,,Pack Tech,packtech.in,Industrial & B2B,curated
Logistics and freight forwarding for exporters,,Delhivery,delhivery.com,Industrial & B2B,curated
Order biryani and get 60% off on first order,,Swiggy,swiggy.in,Food & Beverage,curated
Fresh groceries delivered in 10 minutes,,Blinkit,blinkit.com,Food & Beverage,curated
"Premium basmati rice, taste of tradition",,India Gate,indiagate.com,Food & Beverage,curated
"Authentic Kolhapuri masala, order online",,Kolhapuri Masale,kolhapurimasale.in,Food & Beverage,curated
Healthy millet snacks for your family,,Slurrp Farm,slurrpfarm.com,Food & Beverage,curated
Ice cream offers this summer,,Amul,amul.com,Food & Beverage,curated
"Dine at the best restaurants, flat 20% off",,Zomato,zomato.com,Food & Beverage,curated
Watch the new web series streaming now,,Netflix,netflix.com,Entertainment & Media,curated
New Marathi movie in theatres this Friday,,Zee Studios,zeestudios.com,Entertainment & Media,curated
Book movie tickets and get ₹100 off,,BookMyShow,bookmyshow.in,Entertainment & Media,curated
Stream IPL live in 4K,,JioHotstar,hotstar.com,Entertainment & Media,curated
Listen to ad free music,,Spotify,spotify.com,Entertainment & Media,curated
"Live concert in Mumbai, tickets selling fast",,District,district.in,Entertainment & Media,curated
मराठी चित्रपट आता ऑनलाइन पहा,,Planet Marathi,planetmarathi.com,Entertainment & Media,curated
Consult a lawyer online for property disputes,,LawRato,lawrato.com,Professional Services,curated
GST registration and ITR filing by CAs,,ClearTax,cleartax.in,Professional Services,curated
Company registration in 7 days,,Vakilsearch,vakilsearch.com,Professional Services,curated
"Packers and movers, safe relocation",,Agarwal Packers,agarwalpackers.com,Professional Services,curated
Home cleaning and pest control services,,Urban Company,urbancompany.com,Professional Services,curated
Funeral services and cremation arrangements,,Mokshshil,mokshshil.com,Professional Services,curated
Personal injury claim? Get free legal advice,,Legal Helpline,legalhelp.in,Professional Services,curated
"Hiring now: work from home jobs, apply today",,Naukri,naukri.com,Jobs & Careers,curated
Walk-in interview for BPO executives in Pune,,Apna,apna.co,Jobs & Careers,curated
Government job alerts: police bharti 2026,,Sarkari Result,sarkariresult.com,Jobs & Careers,curated
"Delivery partner jobs, earn up to ₹35,000 per month",,Zepto,zeptonow.com,Jobs & Careers,curated
"Top companies hiring freshers, upload your CV",,LinkedIn,linkedin.com,Jobs & Careers,curated
नोकरीची संधी: पुण्यात भरती सुरू,,Job Marathi,jobmarathi.com,Jobs & Careers,curated
"Part time jobs for students, weekly payout",,Indeed,indeed.co.in,Jobs & Careers,curated
"Pay property tax online before 31 March, get 5% rebate",,Pune Municipal Corporation,pmc.gov.in,Government & Public Notices,curated
Tender notice: construction of road works,,PWD Maharashtra,mahapwd.gov.in,Government & Public Notices,curated
Ladki Bahin Yojana: apply for monthly benefit,,Government of Maharashtra,maharashtra.gov.in,Government & Public Notices,curated
"Get vaccinated, protect your family - Ministry of Health",,MoHFW,mohfw.gov.in,Government & Public Notices,curated
Swachh Bharat: keep your city clean,,Swachh Bharat Mission,swachhbharat.mygov.in,Government & Public Notices,curated
Voter registration drive: enrol before the deadline,,Election Commission,eci.gov.in,Government & Public Notices,curated
सार्वजनिक सूचना: पाणी पुरवठा बंद राहील,,Nagpur Municipal Corporation,nmcnagpur.gov.in,Government & Public Notices,curated
E-auction notice for sale of property under SARFAESI Act,,Bank of Maharashtra,bankofmaharashtra.in,Government & Public Notices,curated
You won't believe what this child star looks like now,,Buzz Daily,buzzdaily.com,Sponsored Content / Clickbait,curated
Doctors are stunned by this simple trick,,Health Gossip,healthgossip.net,Sponsored Content / Clickbait,curated
20 photos taken at the perfect moment,,Picture Perfect,pictureperfect.co,Sponsored Content / Clickbait,curated
"Her husband left her, what she did next is shocking",,Story Viral,storyviral.com,Sponsored Content / Clickbait,curated
